"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",0.00204363572787093,0.00204363572787093,0.948,0.948,1,0.11355695,0.03868855,0.07794605
"sim2",-0.0502560990592101,0.0997439009407899,0.771,0.346,0.997,0.11792345,0.0386805,0.08243535
"sim3",-0.0946658415266077,0.205334158473392,0.349,0.005,0.651,0.1240554,0.03870085,0.0887857
"sim4",-0.135613117862282,0.314386882137718,0.063,0,0.105,0.1311249,0.0386726,0.09612235
"sim5",-0.170949806357004,0.429050193642996,0.011,0,0.814,0.13842885,0.03867365,0.1036835
"sim6",0.0531171840021936,-0.0968828159978064,0.759,0.359,0.999,0.1162537,0.04132065,0.07819955
"sim7",-0.00213719184174077,-0.00213719184174077,0.952,0.952,0.955,0.1206475,0.04129395,0.0828011
"sim8",-0.0493731312110351,0.100626868788965,0.763,0.287,0.237,0.12621755,0.0412986,0.08859525
"sim9",-0.0936610446159887,0.206338955384011,0.339,0.003,0.339,0.13579295,0.0413358,0.09849145
"sim10",-0.138061092227483,0.311938907772517,0.054,0,0.962,0.13948085,0.04126295,0.1024053
"sim11",0.115420440991927,-0.184579559008073,0.208,0.019,0.981,0.11904905,0.04431505,0.0781738
"sim12",0.0563727807781054,-0.0936272192218946,0.724,0.368,0.632,0.12286295,0.04437615,0.0821241
"sim13",0.00176726803460335,0.00176726803460335,0.94,0.94,0.06,0.12881115,0.04436815,0.0883617
"sim14",-0.0515789620687173,0.0984210379312827,0.745,0.281,0.719,0.13521775,0.0443284,0.0951016
"sim15",-0.0966851357090145,0.203314864290985,0.301,0.004,0.996,0.14238635,0.04433415,0.1026256
"sim16",0.180658098667822,-0.269341901332178,0.016,0,0.757,0.122524,0.04781075,0.0784055
"sim17",0.116242302665683,-0.183757697334317,0.18,0.018,0.191,0.1273533,0.0478915,0.08342925
"sim18",0.0555685703536641,-0.0944314296463359,0.699,0.335,0.301,0.1324757,0.04785845,0.0888667
"sim19",-0.00382730634987204,-0.00382730634987204,0.941,0.941,0.965,0.13718795,0.04783285,0.0938724
"sim20",-0.0516263678392198,0.0983736321607802,0.723,0.25,1,0.14593025,0.0478214,0.1030772
"sim21",0.248337626942578,-0.351662373057422,0,0,0.356,0.12636955,0.0518488,0.07850275
"sim22",0.17827074057566,-0.27172925942434,0.011,0,0.156,0.13206125,0.0518483,0.08455015
"sim23",0.112611507085509,-0.187388492914491,0.176,0.01,0.824,0.1363025,0.05189165,0.089014
"sim24",0.0534347273119873,-0.0965652726880127,0.713,0.289,1,0.1427618,0.0518015,0.0959837
"sim25",-0.0024055731931205,-0.0024055731931205,0.948,0.948,1,0.1480022,0.0519476,0.1014518
