,BiasBint,CoverageBint,BiasBright,CoverageBright,Power
sim1,0.000295958,0.953,0.000295958,0.953,1
sim2,-0.074362517,0.591,0.075637483,0.535,0.999
sim3,-0.142572394,0.077,0.157427606,0.066,0.923
sim4,-0.206592648,0,0.243407352,0,0.292
sim5,-0.260396759,0,0.339603241,0,0.312
sim6,0.077472132,0.534,-0.072527868,0.582,0.998
sim7,-0.001973079,0.957,-0.001973079,0.957,0.964
sim8,-0.073196793,0.563,0.076803207,0.513,0.437
sim9,-0.140718664,0.058,0.159281336,0.043,0.085
sim10,-0.206829987,0,0.243170013,0,0.638
sim11,0.163860822,0.028,-0.136139178,0.134,0.866
sim12,0.080881552,0.466,-0.069118448,0.595,0.405
sim13,0.000662655,0.949,0.000662655,0.949,0.051
sim14,-0.074968842,0.53,0.075031158,0.499,0.501
sim15,-0.142977757,0.051,0.157022243,0.055,0.945
sim16,0.256264454,0,-0.193735546,0.017,0.29
sim17,0.165870065,0.009,-0.134129935,0.112,0.089
sim18,0.080497058,0.445,-0.069502942,0.573,0.555
sim19,-0.001931724,0.954,-0.001931724,0.954,0.971
sim20,-0.074665733,0.49,0.075334267,0.497,1
sim21,0.3474158,0,-0.2525842,0,0.284
sim22,0.252694874,0,-0.197305126,0.007,0.711
sim23,0.163144015,0.011,-0.136855985,0.105,0.989
sim24,0.078147505,0.457,-0.071852495,0.509,1
sim25,-0.000658543,0.952,-0.000658543,0.952,1
