"","BiasBint","CoverageBint","BiasBright","CoverageBright","Power"
"sim1",-0.000997343250961665,0.944,-0.000997343250961665,0.944,1
"sim2",-0.108883506837432,0.318,0.0411164931625683,0.836,1
"sim3",-0.210366743487224,0.002,0.0896332565127758,0.46,0.998
"sim4",-0.309702964205602,0,0.140297035794398,0.145,0.945
"sim5",-0.398309916944493,0,0.201690083055507,0.023,0.609
"sim6",0.109985067950605,0.291,-0.0400149320493952,0.835,0.991
"sim7",-0.00215866627940004,0.952,-0.00215866627940004,0.952,0.955
"sim8",-0.105990454243162,0.293,0.0440095457568384,0.814,0.707
"sim9",-0.208108896859657,0.002,0.0918911031403435,0.396,0.282
"sim10",-0.306597497112567,0,0.143402502887433,0.126,0.105
"sim11",0.227283968326079,0.001,-0.0727160316739205,0.57,0.43
"sim12",0.112776080656747,0.233,-0.0372239193432528,0.844,0.156
"sim13",0.000828024771166628,0.945,0.000828024771166628,0.945,0.055
"sim14",-0.108424604753608,0.248,0.0415753952463923,0.819,0.181
"sim15",-0.209817485402561,0.001,0.0901825145974391,0.394,0.606
"sim16",0.349162048331421,0,-0.100837951668579,0.329,0.25
"sim17",0.229581801804853,0,-0.0704181981951466,0.571,0.499
"sim18",0.112366223102076,0.199,-0.0376337768979238,0.855,0.801
"sim19",-0.00134355960978416,0.952,-0.00134355960978416,0.952,0.963
"sim20",-0.10644147252649,0.253,0.0435585274735104,0.785,0.998
"sim21",0.468140739684928,0,-0.131859260315072,0.153,0.978
"sim22",0.345143646971677,0,-0.104856353028323,0.281,0.996
"sim23",0.227356973962129,0,-0.0726430260378707,0.529,1
"sim24",0.111654840969851,0.198,-0.0383451590301495,0.813,1
"sim25",0.000589468766841001,0.947,0.000589468766841001,0.947,1
