"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",0.00205110810380707,0.00205110810380707,0.948,0.948,1,0.11355695,0.03868855,0.07794605
"sim2",-0.0504776133225777,0.0995223866774223,0.771,0.349,0.997,0.11792345,0.0386805,0.08243535
"sim3",-0.0951321803900098,0.20486781960999,0.348,0.005,0.652,0.1240554,0.03870085,0.0887857
"sim4",-0.136333663207592,0.313666336792408,0.063,0,0.1,0.1311249,0.0386726,0.09612235
"sim5",-0.171939124963607,0.428060875036393,0.01,0,0.81,0.13842885,0.03867365,0.1036835
"sim6",0.0533399848993883,-0.0966600151006117,0.758,0.361,0.999,0.1162537,0.04132065,0.07819955
"sim7",-0.00215761642644257,-0.00215761642644257,0.952,0.952,0.952,0.1206475,0.04129395,0.0828011
"sim8",-0.0496207731203417,0.100379226879658,0.762,0.288,0.238,0.12621755,0.0412986,0.08859525
"sim9",-0.0941752531071343,0.205824746892866,0.333,0.003,0.335,0.13579295,0.0413358,0.09849145
"sim10",-0.138827650930791,0.311172349069209,0.052,0,0.962,0.13948085,0.04126295,0.1024053
"sim11",0.115919582365203,-0.184080417634797,0.204,0.019,0.981,0.11904905,0.04431505,0.0781738
"sim12",0.056629645261,-0.093370354739,0.72,0.367,0.633,0.12286295,0.04437615,0.0821241
"sim13",0.00176038759381738,0.00176038759381738,0.94,0.94,0.06,0.12881115,0.04436815,0.0883617
"sim14",-0.0518468850314201,0.0981531149685799,0.746,0.285,0.715,0.13521775,0.0443284,0.0951016
"sim15",-0.0972259539139432,0.202774046086057,0.294,0.004,0.996,0.14238635,0.04433415,0.1026256
"sim16",0.181439864591937,-0.268560135408063,0.016,0,0.754,0.122524,0.04781075,0.0784055
"sim17",0.116780588485324,-0.183219411514676,0.173,0.018,0.186,0.1273533,0.0478915,0.08342925
"sim18",0.0558436140020179,-0.0941563859979821,0.694,0.338,0.306,0.1324757,0.04785845,0.0888667
"sim19",-0.00381896094085307,-0.00381896094085307,0.942,0.942,0.965,0.13718795,0.04783285,0.0938724
"sim20",-0.0519076910385136,0.0980923089614864,0.719,0.254,1,0.14593025,0.0478214,0.1030772
"sim21",0.249415784878209,-0.350584215121791,0,0,0.349,0.12636955,0.0518488,0.07850275
"sim22",0.179127173918838,-0.270872826081162,0.01,0,0.164,0.13206125,0.0518483,0.08455015
"sim23",0.113176190304094,-0.186823809695906,0.169,0.01,0.831,0.1363025,0.05189165,0.089014
"sim24",0.053727701851252,-0.096272298148748,0.708,0.291,1,0.1427618,0.0518015,0.0959837
"sim25",-0.00241290128579852,-0.00241290128579852,0.947,0.947,1,0.1480022,0.0519476,0.1014518
