,BiasBint,CoverageBint,BiasBright,CoverageBright,Power,,,,,,
sim1,0.002051108,0.948,0.002051108,0.948,1,,0.002,0.948,0.002,0.948,1.000
sim2,-0.050477613,0.771,0.099522387,0.349,0.997,,-0.050,0.771,0.100,0.349,0.997
sim3,-0.09513218,0.348,0.20486782,0.005,0.652,,-0.095,0.348,0.205,0.005,0.652
sim4,-0.136333663,0.063,0.313666337,0,0.1,,-0.136,0.063,0.314,0.000,0.100
sim5,-0.171939125,0.01,0.428060875,0,0.81,,-0.172,0.010,0.428,0.000,0.810
sim6,0.053339985,0.758,-0.096660015,0.361,0.999,,0.053,0.758,-0.097,0.361,0.999
sim7,-0.002157616,0.952,-0.002157616,0.952,0.952,,-0.002,0.952,-0.002,0.952,0.952
sim8,-0.049620773,0.762,0.100379227,0.288,0.238,,-0.050,0.762,0.100,0.288,0.238
sim9,-0.094175253,0.333,0.205824747,0.003,0.335,,-0.094,0.333,0.206,0.003,0.335
sim10,-0.138827651,0.052,0.311172349,0,0.962,,-0.139,0.052,0.311,0.000,0.962
sim11,0.115919582,0.204,-0.184080418,0.019,0.981,,0.116,0.204,-0.184,0.019,0.981
sim12,0.056629645,0.72,-0.093370355,0.367,0.633,,0.057,0.720,-0.093,0.367,0.633
sim13,0.001760388,0.94,0.001760388,0.94,0.06,,0.002,0.940,0.002,0.940,0.060
sim14,-0.051846885,0.746,0.098153115,0.285,0.715,,-0.052,0.746,0.098,0.285,0.715
sim15,-0.097225954,0.294,0.202774046,0.004,0.996,,-0.097,0.294,0.203,0.004,0.996
sim16,0.181439865,0.016,-0.268560135,0,0.754,,0.181,0.016,-0.269,0.000,0.754
sim17,0.116780588,0.173,-0.183219412,0.018,0.186,,0.117,0.173,-0.183,0.018,0.186
sim18,0.055843614,0.694,-0.094156386,0.338,0.306,,0.056,0.694,-0.094,0.338,0.306
sim19,-0.003818961,0.942,-0.003818961,0.942,0.965,,-0.004,0.942,-0.004,0.942,0.965
sim20,-0.051907691,0.719,0.098092309,0.254,1,,-0.052,0.719,0.098,0.254,1.000
sim21,0.249415785,0,-0.350584215,0,0.349,,0.249,0.000,-0.351,0.000,0.349
sim22,0.179127174,0.01,-0.270872826,0,0.164,,0.179,0.010,-0.271,0.000,0.164
sim23,0.11317619,0.169,-0.18682381,0.01,0.831,,0.113,0.169,-0.187,0.010,0.831
sim24,0.053727702,0.708,-0.096272298,0.291,1,,0.054,0.708,-0.096,0.291,1.000
sim25,-0.002412901,0.947,-0.002412901,0.947,1,,-0.002,0.947,-0.002,0.947,1.000
