"","BiasBint","CoverageBint","BiasBright","CoverageBright","Power"
"sim1",-0.000985497425391491,0.944,-0.000985497425391491,0.944,1
"sim2",-0.109157434398933,0.314,0.0408425656010673,0.838,1
"sim3",-0.210965114305882,0.002,0.0890348856941182,0.466,0.998
"sim4",-0.310659779265148,0,0.139340220734852,0.145,0.948
"sim5",-0.399659252001559,0,0.200340747998441,0.023,0.619
"sim6",0.110257167142586,0.29,-0.0397428328574141,0.839,0.99
"sim7",-0.00216442473857101,0.952,-0.00216442473857101,0.952,0.955
"sim8",-0.106296495974184,0.291,0.0437035040258158,0.816,0.709
"sim9",-0.208778120323052,0.002,0.091221879676948,0.406,0.293
"sim10",-0.307607642383404,0,0.142392357616596,0.13,0.101
"sim11",0.227858930507761,0.001,-0.0721410694922386,0.578,0.422
"sim12",0.113078847773975,0.23,-0.0369211522260255,0.846,0.154
"sim13",0.000824044419573884,0.945,0.000824044419573884,0.945,0.055
"sim14",-0.108759885895124,0.244,0.0412401141048763,0.82,0.18
"sim15",-0.21051077200341,0.001,0.0894892279965899,0.398,0.602
"sim16",0.350026284780234,0,-0.0999737152197662,0.337,0.255
"sim17",0.230195757482844,0,-0.0698042425171564,0.576,0.504
"sim18",0.11268737268452,0.199,-0.0373126273154801,0.857,0.801
"sim19",-0.0013356223905328,0.952,-0.0013356223905328,0.952,0.961
"sim20",-0.106799639415189,0.25,0.043200360584811,0.788,0.998
"sim21",0.469316781341057,0,-0.130683218658943,0.156,0.982
"sim22",0.346080868738392,0,-0.103919131261607,0.289,0.997
"sim23",0.228004113978991,0,-0.0719958860210087,0.534,1
"sim24",0.111991530272712,0.195,-0.0380084697272885,0.816,1
"sim25",0.000567834270717887,0.946,0.000567834270717887,0.946,1
